,orig.ident
CD4T_L2_sc26,CD4T
CD4T_L2_sc27,CD4T
CD4T_L2_sc28,CD4T
CD4T_L2_sc29,CD4T
CD4T_L2_sc30,CD4T
CD4T_L2_sc31,CD4T
CD4T_L2_sc32,CD4T
CD4T_L2_sc33,CD4T
CD4T_L2_sc35,CD4T
CD4T_L2_sc36,CD4T
CD4T_L2_sc37,CD4T
CD4T_L2_sc38,CD4T
CD4T_L2_sc39,CD4T
CD4T_L2_sc40,CD4T
CD4T_L2_sc41,CD4T
CD4T_L2_sc42,CD4T
CD4T_L2_sc43,CD4T
CD4T_L2_sc44,CD4T
CD4T_L2_sc45,CD4T
CD4T_L2_sc46,CD4T
CD4T_L2_sc47,CD4T
CD4T_L2_sc48,CD4T
CD4T_L2_sc49,CD4T
CD4T_L2_sc50,CD4T
CD4T_L53_sc25,CD4T
CD4T_L53_sc26,CD4T
CD4T_L53_sc27,CD4T
CD4T_L53_sc28,CD4T
CD4T_L53_sc29,CD4T
CD4T_L53_sc30,CD4T
CD4T_L53_sc32,CD4T
CD4T_L53_sc33,CD4T
CD4T_L53_sc35,CD4T
CD4T_L53_sc36,CD4T
CD4T_L53_sc37,CD4T
CD4T_L53_sc38,CD4T
CD4T_L53_sc39,CD4T
CD4T_L53_sc40,CD4T
CD4T_L53_sc41,CD4T
CD4T_L53_sc42,CD4T
CD4T_L53_sc43,CD4T
CD4T_L53_sc44,CD4T
CD4T_L53_sc45,CD4T
CD4T_L53_sc46,CD4T
CD4T_L53_sc47,CD4T
CD4T_L53_sc48,CD4T
CD8T_L2_sc1,CD8T
CD8T_L2_sc2,CD8T
CD8T_L2_sc3,CD8T
CD8T_L2_sc4,CD8T
CD8T_L2_sc5,CD8T
CD8T_L2_sc6,CD8T
CD8T_L2_sc7,CD8T
CD8T_L2_sc9,CD8T
CD8T_L2_sc10,CD8T
CD8T_L2_sc11,CD8T
CD8T_L2_sc12,CD8T
CD8T_L2_sc13,CD8T
CD8T_L2_sc14,CD8T
CD8T_L2_sc15,CD8T
CD8T_L2_sc16,CD8T
CD8T_L2_sc17,CD8T
CD8T_L2_sc18,CD8T
CD8T_L2_sc19,CD8T
CD8T_L2_sc20,CD8T
CD8T_L2_sc21,CD8T
CD8T_L2_sc22,CD8T
CD8T_L2_sc24,CD8T
CD8T_L2_sc25,CD8T
CD8T_L53_sc1,CD8T
CD8T_L53_sc2,CD8T
CD8T_L53_sc3,CD8T
CD8T_L53_sc4,CD8T
CD8T_L53_sc6,CD8T
CD8T_L53_sc7,CD8T
CD8T_L53_sc8,CD8T
CD8T_L53_sc9,CD8T
CD8T_L53_sc10,CD8T
CD8T_L53_sc11,CD8T
CD8T_L53_sc12,CD8T
CD8T_L53_sc13,CD8T
CD8T_L53_sc15,CD8T
CD8T_L53_sc17,CD8T
CD8T_L53_sc18,CD8T
CD8T_L53_sc19,CD8T
CD8T_L53_sc20,CD8T
CD8T_L53_sc22,CD8T
CD8T_L53_sc24,CD8T
CLP_L28_sc73,CLP
CLP_L28_sc74,CLP
CLP_L28_sc75,CLP
CLP_L28_sc76,CLP
CLP_L28_sc77,CLP
CLP_L28_sc78,CLP
CLP_L28_sc79,CLP
CLP_L28_sc80,CLP
CLP_L28_sc81,CLP
CLP_L28_sc82,CLP
CLP_L28_sc83,CLP
CLP_L28_sc84,CLP
CLP_L28_sc85,CLP
CLP_L28_sc86,CLP
CLP_L28_sc87,CLP
CLP_L28_sc88,CLP
CLP_L28_sc89,CLP
CLP_L28_sc90,CLP
CLP_L28_sc91,CLP
CLP_L28_sc93,CLP
CLP_L28_sc94,CLP
CLP_L28_sc95,CLP
CLP_L28_sc96,CLP
CLP_L43_sc49,CLP
CLP_L43_sc51,CLP
CLP_L43_sc52,CLP
CLP_L43_sc53,CLP
CLP_L43_sc54,CLP
CLP_L43_sc55,CLP
CLP_L43_sc56,CLP
CMP_L17_sc26,CMP
CMP_L17_sc27,CMP
CMP_L17_sc28,CMP
CMP_L17_sc29,CMP
CMP_L17_sc30,CMP
CMP_L17_sc32,CMP
CMP_L17_sc33,CMP
CMP_L17_sc35,CMP
CMP_L17_sc36,CMP
CMP_L17_sc37,CMP
CMP_L17_sc38,CMP
CMP_L17_sc40,CMP
CMP_L17_sc41,CMP
CMP_L17_sc42,CMP
CMP_L17_sc43,CMP
CMP_L17_sc44,CMP
CMP_L17_sc45,CMP
CMP_L17_sc46,CMP
